epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,911.4,1.01145,0.72618,0.81315,0.18398,0.23804,0.11541,0.06559,1.46798,3.82688,0.83979,0.000257447,0.000257447,0.000257447
43,930.818,1.02551,0.72534,0.82072,0.19518,0.21984,0.12062,0.06881,1.40345,3.73299,0.8331,0.000255848,0.000255848,0.000255848
44,952.821,0.99257,0.7052,0.81446,0.12551,0.21711,0.10779,0.06195,1.43962,3.83724,0.83985,0.000254249,0.000254249,0.000254249
45,975.949,0.99541,0.70993,0.81292,0.20059,0.1658,0.11403,0.06422,1.51309,3.83883,0.84372,0.000252651,0.000252651,0.000252651
46,995.612,0.99036,0.71564,0.80447,0.15563,0.20254,0.11821,0.06889,1.40942,3.87146,0.8366,0.000251052,0.000251052,0.000251052
47,1015.14,0.97353,0.66973,0.80383,0.19881,0.18662,0.11931,0.07032,1.40816,3.78816,0.83786,0.000249453,0.000249453,0.000249453
48,1034.74,0.98087,0.67388,0.81704,0.21321,0.19104,0.11647,0.06495,1.4781,3.84941,0.84386,0.000247854,0.000247854,0.000247854
49,1054.31,0.963,0.65338,0.81101,0.15583,0.18205,0.11077,0.06527,1.3942,3.61774,0.83551,0.000246255,0.000246255,0.000246255
50,1074.11,0.95646,0.6535,0.81132,0.22728,0.20742,0.11638,0.06709,1.48639,3.73021,0.84183,0.000244656,0.000244656,0.000244656
51,1093.59,0.9507,0.64549,0.80615,0.23393,0.17929,0.11894,0.07251,1.38338,3.94774,0.83253,0.000243057,0.000243057,0.000243057
52,1115.76,0.93884,0.63633,0.81021,0.06738,0.52861,0.11618,0.06998,1.4248,3.79502,0.83896,0.000241459,0.000241459,0.000241459
53,1135.26,0.9467,0.64137,0.8104,0.06132,0.53079,0.114,0.06577,1.41871,3.81765,0.83861,0.00023986,0.00023986,0.00023986
